sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname,label
1.0,0.0,0.520451,,,,,,,0.0,,,,,,284.828,18.2343,15.598,18.1899,EPIC 211934173,0
1.0,0.0,1.324292,,,,,,,0.0,7114.0,2.71166,1.58,,3.77025,1213.2,12.129,11.495,12.0538,EPIC 211942157,0
1.0,1.0,19.49221,0.1493,,5.76,,,817.0,0.0,6069.0,1.39,1.17,0.1,4.22,181.69,10.154,8.837,10.0512,EPIC 211945201,1
1.0,0.0,1.982809,,,,,,,0.0,3330.0,0.291,,,4.958,185.731,,13.499,17.4158,EPIC 211946007,0
1.0,0.0,0.616444,,,,,,,0.0,4937.26,0.750931,0.81,0.043,4.59535,544.461,15.042,12.62,14.8598,EPIC 211955798,0
1.0,0.0,7.218071,,,,,,,0.0,6727.06,1.67346,1.433,0.2329,4.14708,187.293,9.146,8.365,9.27202,EPIC 211964001,0
1.0,0.0,7.219626,,,,,,,0.0,8075.0,2.55977,1.96,0.528,3.91392,189.453,7.6921,7.275,7.65321,EPIC 211964025,0
1.0,0.0,7.220943,,,,,,,0.0,3092.0,0.292863,0.268495,,4.93367,,19.93,13.868,18.1083,EPIC 211964555,0
1.0,0.0,1.4835,,,1.41,,,,0.0,3200.0,0.317944,0.297189,,4.9064,162.067,,12.987,16.9002,EPIC 211970234,0
1.0,0.0,6.0162,,,,,,,0.0,3249.0,0.400314,0.391835,,4.82637,186.063,,12.651,16.5341,EPIC 211972086,0
1.0,0.0,1.092917,,,,,,,0.0,7226.47,1.78223,1.62,-0.339,4.14565,1129.3,12.899,12.171,12.828,EPIC 211972837,0
1.0,0.0,11.6158,,,,,,,0.0,3189.0,0.339085,0.32159,,4.88475,188.025,19.15,13.136,17.0811,EPIC 212002525,0
1.0,0.0,0.77845,,,,,,,0.0,3859.0,0.779314,0.595,,4.42916,183.229,14.734,10.767,14.0006,EPIC 212009427,0
1.0,0.0,0.923861,,,,,,,0.0,6235.06,1.90631,1.21,-0.36,3.96046,1072.93,13.503,12.028,13.1598,EPIC 212009702,0
1.0,0.0,2.851451,,,,,,,0.0,7137.0,2.22321,1.59,,3.9455,2882.33,14.51,13.171,14.4,EPIC 212010565,0
1.0,0.0,3.244126,,,,,,,0.0,4274.11,0.987047,0.67,-0.277,4.27547,306.822,14.24,11.328,13.8819,EPIC 212012387,0
1.0,0.0,0.821436,,,,,,,0.0,6046.46,1.5043,1.12,-0.6383,4.13261,655.284,12.845,11.428,12.7189,EPIC 212019055,0
1.0,0.0,3.888853,,,,,,,0.0,3693.0,0.696024,0.660661,,4.5728,174.95,14.984,10.773,13.9939,EPIC 212020442,0
1.0,0.0,3.696871,,,,,,,0.0,6401.57,1.47855,1.285,-0.093,4.2073,218.506,10.236,8.917,10.1143,EPIC 212024647,0
